gene,gene_name,zscore,VAR_g,n,covariance_n,model_n,pred_perf_R2
HRH1,HRH1,-0.995179382802,0.0196950066607,8,8,8,0.0434161449059
FAM169A,FAM169A,-0.0907149668319,0.000134091710049,2,2,2,0.000625167135572
FAM116B,FAM116B,-0.448047955254,0.102314322402,29,29,29,0.120549456055
FAM116A,FAM116A,1.30376528134,0.065048041071,26,26,26,0.101083555993
FAM169B,FAM169B,-1.66736068349,0.0776052870696,5,5,5,0.12959950483
GHDC,GHDC,-0.409854946687,0.00118894637155,4,4,4,0.000200829957201
SDK1,SDK1,-0.734235243991,0.187963977337,66,66,66,0.253998341613
SDK2,SDK2,0.523516606583,0.385548679959,161,162,162,0.396434996231
TPRN,TPRN,0.429599894193,0.0320462495893,26,26,26,0.0342991948749
THSD1,THSD1,1.16703053167,0.0347944178686,22,22,22,0.0428042279097
ZFP161,ZFP161,1.51066560237,0.0257825678443,37,37,37,0.0293516928658
CHST8,CHST8,0.465123400687,0.176151692937,29,29,29,0.207233038617
COL4A3,COL4A3,1.52523223519,0.0105355696877,18,19,19,0.0203237314335
COL4A2,COL4A2,0.582047255695,0.0109978763367,10,10,10,0.0201814820993
COL4A1,COL4A1,-0.132135418581,0.21776829456,60,61,61,0.265915436916
GRN,GRN,0.822901373541,0.0862813373487,70,70,70,0.0580311683828
CHST2,CHST2,-0.667482117366,0.0605023077243,58,58,58,0.0648698340659
CHRM5,CHRM5,1.03776095562,0.00909917854346,18,18,18,0.0173862376405
ITGAX,ITGAX,0.421651839764,0.341343187631,15,15,15,0.364625186852
BCL2A1,BCL2A1,-0.450817489142,0.00614135912623,17,17,17,0.0121538068873
HLCS,HLCS,0.888518835639,0.300166008727,48,48,48,0.410790244231
NOG,NOG,0.399863184247,0.0653005673154,36,36,36,0.0693970208832
ITGAV,ITGAV,0.820174773814,0.00796836844429,7,7,7,0.0122879507655
HIBCH,HIBCH,0.752202255381,0.135179059913,21,21,21,0.166923573133
ITGAL,ITGAL,-1.81060410909,0.0245569630882,23,23,23,0.0183319972998
ITGAM,ITGAM,-1.2402852592,0.0068817497581,15,15,15,0.000952695397959
HLF,HLF,-1.25942424386,0.0367790421395,46,46,46,0.0418374444639
NOV,NOV,0.579965302359,0.0125172104146,20,20,20,0.0206654842493
FAM134C,FAM134C,-1.37974620999,0.00490802873909,2,2,2,0.0111549718376
ITGAE,ITGAE,1.07388856678,0.00952009039049,12,12,12,0.0248849240313
FAM134A,FAM134A,1.13874047779,0.0213168901852,21,21,21,0.0185048671925
SMAD9,SMAD9,0.0670351432893,0.000806219260201,6,6,6,0.00154701740658
TRERF1,TRERF1,-1.54064079573,0.0681377841631,44,44,44,0.0849304782921
LRPAP1,LRPAP1,-0.531413303553,0.157993612245,40,40,40,0.171391042246
SMAD5,SMAD5,1.24625265966,0.267178292897,25,25,25,0.306796937475
SMAD6,SMAD6,0.048248437365,0.0312657589186,27,27,27,0.0406341979324
SMAD7,SMAD7,-1.21636929601,0.0152122988737,14,14,14,0.0169425663588
GOLPH3L,GOLPH3L,0.507983797289,0.0987951426111,70,70,70,0.0541630650126
SMAD1,SMAD1,0.218419042351,0.0145442729411,2,2,2,0.0323290775292
SMAD2,SMAD2,0.924238498508,0.00177161861893,7,7,7,0.000802598803843
SMAD3,SMAD3,-2.2037411897,0.0199078021667,43,43,43,0.00804782610369
MUS81,MUS81,-1.03759233242,0.0576311547133,44,44,44,0.0571351081551
CYFIP1,CYFIP1,0.0483029137511,0.000799203615024,2,2,2,0.000884978510476
IGF2R,IGF2R,-0.426060628651,0.00136575915429,7,7,7,0.000208761990929
HRH2,HRH2,1.22277219599,0.0136212580922,29,31,31,0.0068598986433
ABHD14B,ABHD14B,0.253995816305,0.155449567717,69,69,69,0.133291820412
PLRG1,PLRG1,0.389648889234,0.00320146175357,10,11,11,0.00474984237561
CKS1B,CKS1B,-0.76126025916,0.0140104213178,28,28,28,0.00364702268121
SLC36A1,SLC36A1,0.0785327439292,0.443766603563,50,52,52,0.47310852556
ZC3H15,ZC3H15,-0.0246213509905,0.00356595510081,8,8,8,0.00124392314348
C14orf118,C14orf118,-0.121636578682,0.0247556359123,11,11,11,0.0456087304652
C14orf119,C14orf119,-2.23366087713,0.0215596144418,36,36,36,0.0210121333359
TCEA2,TCEA2,0.486320693016,0.0569772243023,30,30,30,0.0875497345402
TCEA3,TCEA3,-0.522840123761,0.121460382824,20,21,21,0.1864761309
TCEA1,TCEA1,-0.161500699205,0.0298942050212,25,25,25,0.0302015829448
KDM2A,KDM2A,0.786355488192,0.000286824669917,3,3,3,0.00263125738795
COX4I1,COX4I1,-1.60066881444,0.0196711055995,13,13,13,0.0423691499158
ABCB4,ABCB4,0.654767659736,0.0291663006957,9,9,9,0.0459612590679
CRTAM,CRTAM,0.0593410511962,0.0231928879949,11,11,11,0.0356488040813
KDM2B,KDM2B,-0.00389954019983,0.0109837835794,30,30,30,0.00449180312405
CCDC116,CCDC116,1.18726766074,0.0724260649595,30,30,30,0.103009340711
CCDC117,CCDC117,0.184566553826,0.0148379061108,24,24,24,0.0204068328467
CCDC114,CCDC114,-0.228234165185,0.252847870382,27,27,27,0.316915726478
CCDC115,CCDC115,1.26639610812,0.131580662548,50,50,50,0.127264900873
CCDC112,CCDC112,-0.862849597183,0.0203484213405,31,33,33,0.0150339123544
MCF2L,MCF2L,-0.630880821409,0.0782991478809,17,17,17,0.13167122951
CCDC111,CCDC111,0.504114492702,0.0254397211937,29,29,29,0.0331450238964
LEO1,LEO1,0.0823234434711,0.00222129438694,6,6,6,0.00510646819358
ATP1A4,ATP1A4,-1.19297767173,0.788801782481,22,22,22,0.809918580557
MGRN1,MGRN1,0.836378243137,0.40086977648,26,26,26,0.434067377801
CRTAP,CRTAP,0.127622275665,0.00836782524676,14,14,14,0.00667345756959
C2CD3,C2CD3,-1.56882916882,0.0157894174476,29,29,29,0.0111364022253
SPHK1,SPHK1,0.972294435896,0.310823505661,119,121,121,0.309617783837
CUEDC1,CUEDC1,0.778253926568,0.104867710228,67,67,67,0.113247139537
IPO13,IPO13,-0.140347085695,0.00702205776292,8,8,8,0.00953822360667
CPEB4,CPEB4,0.749602219384,0.134552606855,53,56,56,0.170254094266
CPEB1,CPEB1,0.730371321614,0.0183242017957,23,23,23,0.0154643496042
CPEB3,CPEB3,0.897200129157,0.00221316708269,8,8,8,1.15414956881e-05
CPEB2,CPEB2,-1.27314567838,0.0428608004311,30,30,30,0.0685007881022
RBMXL1,RBMXL1,-0.909921198272,0.0205254200959,17,18,18,0.0506064745861
SIRPD,SIRPD,1.02265106074,0.0718900231621,25,25,25,0.136069279684
ABAT,ABAT,-1.04851512189,0.279271768497,91,91,91,0.319001514418
ZNF780A,ZNF780A,0.0448516671844,0.124282928132,32,33,33,0.156404215731
FRG1,FRG1,-0.32199182201,0.0170962094253,12,12,12,0.0185913397011
TP53TG5,TP53TG5,1.32960194848,0.0349285809846,21,21,21,0.0497922802707
IFT88,IFT88,0.3769447567,0.384956261378,29,29,29,0.405762754377
C11orf92,C11orf92,0.997130029633,0.381989649957,21,21,21,0.41846936232
IL10RA,IL10RA,-0.45144039264,0.0462322434315,15,15,15,0.071813185586
POU5F1B,POU5F1B,-0.820361777828,0.0530099374566,44,45,45,0.0702984444107
GRINA,GRINA,-0.186958724487,0.111750413852,42,42,42,0.129370870777
KISS1R,KISS1R,0.590746624807,0.114832241464,13,14,14,0.222013670697
NUP93,NUP93,1.02564682737,0.00648171323035,10,10,10,0.0151621538525
ATG4C,ATG4C,-0.538388734326,0.0262278490576,24,24,24,0.0510965289111
ATG4B,ATG4B,1.17403259758,0.0347110456816,16,16,16,0.0423149652834
THUMPD2,THUMPD2,1.34787373756,0.0350938226053,14,14,14,0.0518009533815
ATG4D,ATG4D,0.548015431891,0.018429582935,7,7,7,0.0386489091896
LRGUK,LRGUK,-0.519678842351,0.485819742429,138,138,138,0.45057195496
UPK2,UPK2,-1.28171142911,0.0222298986737,8,8,8,0.0338582898697
CFH,CFH,0.475781234747,0.0114396334049,25,26,26,0.00635226558672
GPT2,GPT2,-1.55738823077,0.0105574615584,8,8,8,0.00565713719582
PNP,PNP,0.555879112905,0.0297839012822,17,17,17,0.0618455305625
PDP1,PDP1,-0.386469329292,0.0235945867101,31,31,31,0.0292569808406
CFB,CFB,0.239259970577,0.0131764569743,7,8,8,0.0241892348546
MLLT4,MLLT4,0.797359442356,0.116199391305,48,49,49,0.176085664539
CREBBP,CREBBP,-1.63744374102,0.00232741915536,3,3,3,0.00282892809217
PNN,PNN,0.236795771794,0.00204869828172,12,12,12,0.000818350401243
ATP6V0E2,ATP6V0E2,2.53547004672,0.487717865241,106,107,107,0.452741526762
SIDT1,SIDT1,0.483651512835,0.286495202555,65,65,65,0.297044353315
SIDT2,SIDT2,-0.12371356172,0.582850606321,21,21,21,0.614195052028
SIX5,SIX5,-1.32697987288,0.0753783320399,29,30,30,0.10772784854
MR1,MR1,0.830574620065,0.0049345272783,23,23,23,0.00298622157459
CNPY4,CNPY4,-0.971550552639,0.169134113938,74,75,75,0.147779210325
CNPY3,CNPY3,-0.278244352961,0.00277065132933,4,4,4,0.00517435629977
CNPY2,CNPY2,0.180064280003,0.04472234238,55,55,55,0.02915137508
COPG2,COPG2,-0.562584815609,0.60262159833,38,38,38,0.631784404222
KNDC1,KNDC1,-1.09222736669,0.284989944119,26,27,27,0.370623130266
HMG20A,HMG20A,0.973044193778,0.0578306247266,20,20,20,0.0748714995076
HMG20B,HMG20B,-0.9516940441,0.00510945047692,10,11,11,0.009856787185
PHOSPHO2,PHOSPHO2,-1.17574800951,0.0947562262804,31,31,31,0.123213611138
AAGAB,AAGAB,1.14603342633,0.0241343991483,23,23,23,0.0205956736543
C4orf19,C4orf19,0.252262711462,0.0102314715999,8,8,8,0.0208896307318
C3orf78,C3orf78,-0.247150007154,0.00412109931695,4,4,4,0.00935203794682
C3orf75,C3orf75,0.0672789016216,0.00543427294581,8,8,8,0.00263060488861
CREB1,CREB1,-0.0346438626858,0.0421722560827,35,35,35,0.0712871145123
C3orf71,C3orf71,1.0499959009,0.000690246936002,7,7,7,0.00066864642335
ZFP82,ZFP82,1.93134553399,0.208721338481,30,31,31,0.396612308922
CHFR,CHFR,-0.438233077009,0.0423484455585,16,16,16,0.0623695928614
EFHA1,EFHA1,-3.47089854467,0.072892025377,27,27,27,0.0899616956327
EFHA2,EFHA2,-0.277649193053,0.00623125255308,14,14,14,0.00648033300238
SYPL1,SYPL1,-0.649879664796,0.0100184146164,8,8,8,0.0254260364948
FAM81A,FAM81A,0.792231375321,0.0753399765952,47,47,47,0.100502284015
RFX8,RFX8,1.39298553754,0.030839915203,31,31,31,0.0384473757006
RFX5,RFX5,1.20357857678,0.0391897182394,11,11,11,0.0587777074437
APP,APP,-0.0661494454704,0.00946857400385,10,10,10,0.0201314397026
RFX7,RFX7,1.23438207474,0.0114626101169,14,14,14,0.011564691641
TIGD3,TIGD3,-0.692118716427,0.0861113249585,52,52,52,0.109626062824
RFX2,RFX2,0.232372370125,0.00869114085129,22,22,22,0.00686953372052
RFX3,RFX3,1.47676200903,0.00160458617746,5,5,5,0.00337700769485
YDJC,YDJC,-0.720266105559,0.0224443451215,5,5,5,0.0342625038035
RFPL2,RFPL2,-2.23693273285,0.139305026844,20,20,20,0.175932035679
TMEM179B,TMEM179B,0.129108733803,0.0118057944952,18,18,18,0.0072990204877
ETV3L,ETV3L,0.404274242305,0.0186088768866,14,14,14,0.0407532666822
UQCRC2,UQCRC2,-0.770072503497,0.00590276397691,16,16,16,0.00416772361844
XPNPEP1,XPNPEP1,-1.15081680176,0.169101955881,34,34,34,0.19177409388
XPNPEP3,XPNPEP3,1.15687451541,0.0737656294457,24,25,25,0.0929864195891
GGCX,GGCX,1.71481953377,0.400973199158,24,25,25,0.459503100404
PAPLN,PAPLN,-0.247870711133,0.0783020246068,30,30,30,0.125413100076
ADNP,ADNP,-2.12737368298,0.0134490519691,35,35,35,0.00765709923884
TMEM218,TMEM218,-1.45935318357,0.115194146465,27,27,27,0.153380387135
KHDRBS2,KHDRBS2,0.290704677,0.0268508289541,16,16,16,0.0336837653103
DYNC1I2,DYNC1I2,-1.00028859194,0.00562698883714,20,20,20,0.00174491183712
STAC3,STAC3,-0.117702997076,0.0539514902799,18,18,18,0.0785823368868
MON2,MON2,-1.1130276444,0.0109839050309,26,26,26,0.00803611077089
TMEM127,TMEM127,-1.80587682046,0.0634416943899,16,16,16,0.0703241636978
DPYSL4,DPYSL4,0.623991026039,0.476635643097,43,43,43,0.532406574251
TARS2,TARS2,0.596059448181,0.0207631877801,7,7,7,0.0419703522042
DPYSL2,DPYSL2,-0.898309244197,0.00345211130732,7,7,7,0.00898032480424
DPYSL3,DPYSL3,-0.347397106727,0.0100494369331,42,42,42,0.00441465217923
C11orf9,C11orf9,-0.534569619517,0.15993273112,13,14,14,0.254701011804
IGFBP2,IGFBP2,1.08996254851,0.234119814126,7,7,7,0.351942935344
IGFBP3,IGFBP3,0.193978160921,0.187475374696,63,63,63,0.170533763964
HBE1,HBE1,-1.04123777577,0.00757082287176,8,8,8,0.0158958675157
IGFBP7,IGFBP7,-0.0500519839294,0.0658706308069,22,23,23,0.11344869961
IGFBP4,IGFBP4,-0.239713629652,0.090120327389,16,16,16,0.127940176223
SKP2,SKP2,-0.110485362109,0.0192553155983,12,12,12,0.0309071776859
CYP2R1,CYP2R1,-1.48730419955,0.00037773467086,4,4,4,6.30301741801e-05
CKLF,CKLF,1.71474259483,0.000482758513961,4,4,4,0.00208522041793
C15orf26,C15orf26,0.966857524717,0.114030987478,46,46,46,0.142603189251
C15orf27,C15orf27,2.6249949027,0.0192808892443,16,16,16,0.0258783449964
C15orf24,C15orf24,0.538662561946,0.00383167145498,5,5,5,0.0137328190405
GJA3,GJA3,0.827982218369,0.0544088469684,42,42,42,0.0647128346701
GJA4,GJA4,1.16709139264,0.103234872016,44,46,46,0.101581723095
C15orf23,C15orf23,-0.480804358744,0.450896183616,28,28,28,0.656638735538
C15orf29,C15orf29,0.91801605014,0.0354392387608,22,22,22,0.0520942500665
KDM3B,KDM3B,0.590414331,0.00265458470806,8,8,8,0.00186481964898
ZNF117,ZNF117,0.0724077257479,0.126775099489,50,51,51,0.108807204998
KDM3A,KDM3A,-0.960776622017,0.00344100835273,13,13,13,0.000622374023562
SEZ6L,SEZ6L,-0.765753402188,0.0168161598621,16,16,16,0.0322419285798
TMC4,TMC4,-0.52788985668,0.654615098151,28,28,28,0.726168979004
TMC5,TMC5,-1.18059984387,0.0207484435723,6,6,6,0.0317413671637
TMC6,TMC6,0.0601802746529,0.163549236259,81,81,81,0.223451934009
APIP,APIP,0.517981597844,0.315362498625,75,75,75,0.407925854845
TMC2,TMC2,1.39442960025,0.0843092930056,20,20,20,0.122724683408
EIF2B4,EIF2B4,-1.27726698479,0.0130299275454,15,15,15,0.0182613269392
EIF2B5,EIF2B5,0.585360356339,0.00200825703813,11,11,11,0.00147656848659
EIF2B2,EIF2B2,-0.547126826762,0.281201078911,20,21,21,0.325164138769
EIF2B3,EIF2B3,0.552989086615,0.0108735245235,18,18,18,0.0107571287835
EIF2B1,EIF2B1,1.72501779366,0.0973608141012,42,42,42,0.105372112752
PRKAR2A,PRKAR2A,2.46737691568,0.0107743124739,21,21,21,0.00949295152127
PRKAR2B,PRKAR2B,-0.16576429634,0.0139344475281,17,17,17,0.0238115460348
MLF1,MLF1,0.0315491395782,0.0956438937724,33,33,33,0.130263318676
QPRT,QPRT,0.103835976916,0.0240441272275,5,5,5,0.0379067763047
TMEM14E,TMEM14E,0.346206539042,0.0107918158304,14,14,14,0.0171897707983
RSPH9,RSPH9,-0.0388049293849,0.0201643686304,50,50,50,0.00896151605695
TMEM14C,TMEM14C,0.413372077222,0.179860250865,43,43,43,0.254017204559
FAM157A,FAM157A,0.145625739052,0.0801668653033,48,48,48,0.0765446738196
TMEM14A,TMEM14A,1.1549966695,0.0145866726331,30,30,30,0.0138245750036
CFLAR,CFLAR,0.737678334052,0.170296092619,31,32,32,0.235987061181
RSPH3,RSPH3,1.02823401509,0.158312192856,78,78,78,0.161053447254
RSPH1,RSPH1,0.852746316417,0.000855921469177,1,1,1,0.00321234160861
FANCE,FANCE,-0.401513878327,0.000153861642882,5,5,5,0.00133510422507
C9orf128,C9orf128,-0.682850988171,0.265634055067,21,21,21,0.344806809738
C9orf123,C9orf123,1.02364898868,0.00888639411832,17,17,17,0.019154458781
CLIC6,CLIC6,3.07739528514,0.0793613991499,74,74,74,0.0689389721659
PHACTR4,PHACTR4,0.212116940519,0.291923305988,55,56,56,0.334429109588
CLIC4,CLIC4,0.680383819846,0.0678998309344,21,21,21,0.0973028801961
CLIC5,CLIC5,1.18899175531,0.0431728193491,25,25,25,0.0594964961324
PHACTR1,PHACTR1,1.16779131998,0.131417269538,17,17,17,0.185190644791
CLIC3,CLIC3,0.622505601962,0.0363227504165,9,9,9,0.0569390420199
PHACTR3,PHACTR3,-0.48671989107,0.023949537423,30,30,30,0.019621757073
LARP4B,LARP4B,0.563817190165,0.00685784731806,24,24,24,0.00242616910291
KIAA0020,KIAA0020,0.124824844702,0.00645744541316,24,25,25,0.00485673180294
TMEM147,TMEM147,0.449302008612,0.0314124905545,18,18,18,0.0550456417312
ASGR1,ASGR1,0.192751118426,0.0499616933115,71,72,72,0.0221439091109
ASGR2,ASGR2,0.321756316016,0.337968974662,61,61,61,0.401364886382
TMEM144,TMEM144,-1.42915616646,0.467412420453,98,100,100,0.357788046245
TMEM143,TMEM143,-0.434135678343,0.0384359261562,9,9,9,0.0588992598821
ITGA6,ITGA6,-0.93390880867,0.0244944331736,55,56,56,0.0136344794062
TMEM141,TMEM141,-1.6099287005,0.0397531607213,34,35,35,0.0520107219721
TMEM140,TMEM140,0.0591057386881,0.2627495559,58,59,59,0.337556725573
API5,API5,1.34485044512,0.00648906103415,11,11,11,0.0122732832277
RTKN2,RTKN2,0.510972541114,0.25556305018,54,55,55,0.335960583422
SECISBP2L,SECISBP2L,-1.065029727,6.91629827828e-05,3,3,3,0.00131229079875
KIAA1199,KIAA1199,-0.370844445654,0.00153331632443,3,3,3,0.00626626917372
HLA-DPA1,HLA-DPA1,-1.04725071843,0.220229797921,99,100,100,0.20583334575
FAM32A,FAM32A,-0.771973735803,0.005236050935,7,7,7,0.0115324968033
KIAA1191,KIAA1191,1.66888028403,0.0220646985218,21,21,21,0.0259358846489
ZMAT3,ZMAT3,-1.66470905784,0.0984576549491,27,28,28,0.207371789858
ZMAT2,ZMAT2,1.07538937441,0.0211537251588,13,13,13,0.0307387806019
ZMAT5,ZMAT5,-0.33174635299,0.00899791979959,18,18,18,0.00661431196051
ZMAT4,ZMAT4,0.740215996491,0.299130952463,22,22,22,0.332590940048
C19orf24,C19orf24,1.44406338615,0.177444920367,31,31,31,0.234006904313
C19orf25,C19orf25,-1.3910281591,0.0059059748671,8,8,8,0.00416123783732
MYBL1,MYBL1,-0.814427657004,0.000665732595878,8,8,8,0.000503200909884
NR1D1,NR1D1,-1.04246907593,0.255009467479,2,2,2,0.278146520411
SMOC1,SMOC1,0.0749455785811,0.0148753958836,28,28,28,0.003562093103
MYBL2,MYBL2,-0.473953138706,0.406200601412,45,46,46,0.571615587678
ITGB1BP1,ITGB1BP1,-1.69964933297,0.0137938250757,34,34,34,0.0175589949992
ZNF2,ZNF2,0.777596810392,0.00885018443311,7,7,7,0.0116039078333
ZNF3,ZNF3,0.922259075685,0.0202584344256,17,18,18,0.0245022982434
TIPIN,TIPIN,-1.36461510176,0.166092888808,76,76,76,0.136001976763
PHLDA1,PHLDA1,-1.28676745924,0.0187473695415,34,34,34,0.0253171864921
ZNF8,ZNF8,0.809383800648,0.0162250644983,28,28,28,0.00290995236368
PCP4L1,PCP4L1,0.00419949355921,0.00879181607121,12,12,12,0.00931789885611
ZAP70,ZAP70,0.968004696118,0.0432804543217,6,6,6,0.0673363624312
C11orf10,C11orf10,-0.794851359413,0.0552727673422,18,18,18,0.07949027314
PHLDA2,PHLDA2,-2.22968934383,0.16198433322,38,38,38,0.207468783468
OGFR,OGFR,-0.88830274192,0.0284325844679,44,44,44,0.0172471921158
RAC2,RAC2,-0.951687175016,0.104909108671,53,53,53,0.123922466527
RAC3,RAC3,0.61888156165,0.00811898348562,16,16,16,0.00733723326024
RAC1,RAC1,0.554339751795,0.463460337247,65,67,67,0.484573532305
VCL,VCL,-0.877726271081,0.032691429749,20,21,21,0.0426967632451
VCP,VCP,0.507490374791,0.116804713265,16,16,16,0.139793062444
CPLX3,CPLX3,-0.950883781987,0.00883508527025,12,12,12,0.0106066089199
CPLX1,CPLX1,-0.437216693493,0.0375941052658,36,37,37,0.0299940634583
AP2A1,AP2A1,-2.64803364954,0.0158254979609,41,41,41,0.00756469223169
AP2A2,AP2A2,-0.800515199949,0.00803715328902,20,20,20,0.0154590331942
PBX4,PBX4,-1.32689834555,0.00611707952107,10,10,10,0.00406946874035
FIGNL1,FIGNL1,0.0293830016735,0.162949981426,17,17,17,0.230566978756
PBX2,PBX2,-0.729730865434,0.0806216590857,74,75,75,0.0379792877239
PBX3,PBX3,-0.04521602436,0.0351600428358,51,52,52,0.0281490252854
PBX1,PBX1,1.25367532961,0.0233191999675,25,25,25,0.0386877637311
AIRE,AIRE,-1.78931236041,0.00354425211637,20,20,20,0.00300687723029
NSUN3,NSUN3,-0.100967785105,0.00526326764021,14,14,14,0.00157577666421
NSUN2,NSUN2,2.33813028736,0.172472938711,34,35,35,0.237872185946
NSUN4,NSUN4,-1.39482840008,0.280531892659,34,35,35,0.349609542733
NSUN7,NSUN7,-1.7915838106,0.194482427791,17,17,17,0.25619662841
NSUN6,NSUN6,-0.0344151789409,0.351830231856,27,27,27,0.405769864271
TUBG1,TUBG1,0.657248719255,0.00670302820673,7,7,7,0.00591900171058
TUBG2,TUBG2,0.967913360392,0.0456396740602,28,28,28,0.0449068493925
